2025-08-04T00:00:08.028 ERROR o.g.app.libraries.LibraryScanService     : Error updating game with id '22': A collection with orphan deletion was no longer referenced by the owning entity instance: org.gameyfin.app.games.entities.Game.images
2025-08-04T00:00:12.811 ERROR o.g.app.libraries.LibraryScanService     : Error updating game with id '77': A collection with orphan deletion was no longer referenced by the owning entity instance: org.gameyfin.app.games.entities.Game.images
2025-08-04T00:00:15.318 ERROR o.g.app.libraries.LibraryScanService     : Error updating game with id '114': A collection with orphan deletion was no longer referenced by the owning entity instance: org.gameyfin.app.games.entities.Game.images
2025-08-04T00:00:20.655 ERROR o.g.app.libraries.LibraryScanService     : Error updating game with id '164': A collection with orphan deletion was no longer referenced by the owning entity instance: org.gameyfin.app.games.entities.Game.images
2025-08-04T18:22:27.122 INFO  o.g.a.c.p.m.GameyfinPluginManager        : Plugin org.gameyfin.plugins.metadata.igdb changed state to RESOLVED
2025-08-04T18:22:27.131 INFO  o.g.a.c.p.m.GameyfinPluginManager        : Plugin org.gameyfin.plugins.metadata.steam changed state to RESOLVED
2025-08-04T18:22:27.131 INFO  o.g.a.c.p.m.GameyfinPluginManager        : Plugin org.gameyfin.plugins.metadata.steamgriddb changed state to RESOLVED
2025-08-04T18:22:27.131 INFO  o.g.a.c.p.m.GameyfinPluginManager        : Plugin org.gameyfin.plugins.download.direct changed state to RESOLVED
2025-08-04T18:22:27.135 WARN  o.g.a.c.p.m.GameyfinPluginManager        : Plugin org.gameyfin.plugins.metadata.igdb has invalid configuration
2025-08-04T18:22:27.137 INFO  o.g.a.c.p.m.GameyfinPluginManager        : Plugin org.gameyfin.plugins.metadata.steam changed state to STARTED
2025-08-04T18:22:27.138 WARN  o.g.a.c.p.m.GameyfinPluginManager        : Plugin org.gameyfin.plugins.metadata.steamgriddb has invalid configuration
2025-08-04T18:22:27.140 INFO  o.g.a.c.p.m.GameyfinPluginManager        : Plugin org.gameyfin.plugins.download.direct changed state to STARTED
2025-08-04T18:22:27.141 INFO  o.g.a.c.p.m.PluginManagerConfig          : Loaded plugins: [org.gameyfin.plugins.metadata.igdb, org.gameyfin.plugins.metadata.steam, org.gameyfin.plugins.download.torrent, org.gameyfin.plugins.metadata.steamgriddb, org.gameyfin.plugins.download.direct]
