# DNS Records Export for marcel.codes

## marcel.codes ##
home.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
2mkxieiyztx2ogk3.myfritz.net. 3446 IN	A	87.148.247.85
home.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
home.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
home.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
home.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
home.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
home.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
home.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
home.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.

## immich.marcel.codes ##
immich.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
2mkxieiyztx2ogk3.myfritz.net. 3446 IN	A	87.148.247.85
immich.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
immich.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
immich.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
immich.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
immich.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
immich.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
immich.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
immich.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.

## jarvis.marcel.codes ##
jarvis.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
2mkxieiyztx2ogk3.myfritz.net. 3446 IN	A	87.148.247.85
jarvis.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
jarvis.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
jarvis.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
jarvis.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
jarvis.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
jarvis.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
jarvis.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
jarvis.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.

## mealie.marcel.codes ##
mealie.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
2mkxieiyztx2ogk3.myfritz.net. 3446 IN	A	87.148.247.85
mealie.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
mealie.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
mealie.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
mealie.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
mealie.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
mealie.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
mealie.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
mealie.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.

## media.marcel.codes ##
media.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
2mkxieiyztx2ogk3.myfritz.net. 3446 IN	A	87.148.247.85
media.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
media.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
media.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
media.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
media.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
media.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
media.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
media.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.

## paper.marcel.codes ##
paper.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
2mkxieiyztx2ogk3.myfritz.net. 3446 IN	A	87.148.247.85
paper.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
paper.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
paper.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
paper.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
paper.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
paper.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
paper.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
paper.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.

## pdf.marcel.codes ##
pdf.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
2mkxieiyztx2ogk3.myfritz.net. 3446 IN	A	87.148.247.85
pdf.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
pdf.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
pdf.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
pdf.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
pdf.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
pdf.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
pdf.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
pdf.marcel.codes.	3446	IN	CNAME	2mkxieiyztx2ogk3.myfritz.net.
